X,Y,Z,Md,Ml,Time,Strike,Dip,Rake
426740.476676,4520063.181020,-1888.000000,3.900000,3.424735,2025-03-15 12:32:27.460000+00:00,285.093100,28.766000,-81.976400
428513.935052,4518321.808686,-2714.000000,3.500000,3.398086,2025-03-14 18:44:10.839999+00:00,112.981300,20.392700,179.740500
428444.546543,4518324.922363,-2674.000000,4.600000,3.954667,2025-03-13 00:25:02.710000+00:00,299.409500,6.409000,14.690200
427376.043238,4519837.977883,-1664.000000,3.000000,2.884740,2025-03-11 02:04:09.939999+00:00,266.973200,31.213600,-65.269000
423417.419537,4519896.151637,-2776.000000,2.600000,2.718666,2025-03-09 23:59:15+00:00,231.479900,53.374700,-150.395200
426834.933317,4519604.070143,-381.000000,3.200000,2.376759,2025-03-06 23:38:43.439999+00:00,264.262200,46.251100,-85.908900
427783.331795,4519886.497999,-1619.000000,3.100000,2.795748,2025-02-19 14:55:11.679999+00:00,244.722000,28.147100,-67.000300
428083.340129,4520029.672374,-1722.000000,3.000000,2.615019,2025-02-19 03:04:15.960000+00:00,44.573300,56.582900,-119.298200
428229.972509,4520366.630962,-1519.000000,3.100000,2.676513,2025-02-19 00:31:12.960000+00:00,275.127800,40.778000,-53.596000
427580.515072,4520024.036725,-1569.000000,3.100000,2.769214,2025-02-18 02:22:20.230000+00:00,271.548800,38.141700,-81.015900
427203.214347,4519397.934991,-432.000000,2.400000,2.153018,2025-02-17 08:39:38.490000+00:00,82.485400,73.325100,-161.789200
427161.142923,4519946.782135,-1809.000000,3.200000,2.719589,2025-02-17 07:12:10.960000+00:00,42.947700,50.892800,-112.408600
428090.953333,4518879.336740,-130.000000,2.400000,2.023144,2025-02-17 04:04:21.719999+00:00,289.360900,29.446600,-94.197200
428148.011613,4519916.026413,-1452.000000,3.900000,3.419866,2025-02-16 23:19:52.899999+00:00,26.260300,37.443900,-139.321100
427684.587222,4519852.714885,-1481.000000,3.000000,2.280357,2025-02-16 22:46:47.920000+00:00,234.868100,12.731000,-69.396400
427924.548760,4520107.489350,-2011.000000,3.000000,2.548434,2025-02-16 22:45:12.580000+00:00,19.126600,20.108500,-139.320700
424430.183546,4518050.237977,-3316.000000,3.900000,3.623394,2025-02-16 14:30:02.830000+00:00,306.619000,41.890800,107.561000
427960.117305,4520157.544897,-2423.000000,3.100000,3.222144,2025-02-05 07:52:03.330000+00:00,10.314400,39.919100,-130.147300
428047.517743,4520178.674920,-2224.000000,2.600000,3.019308,2025-02-05 07:32:18.160000+00:00,355.307300,40.510100,-141.231400
426747.358479,4519753.592006,-1257.000000,3.300000,3.258444,2025-01-17 16:53:50.460000+00:00,168.472800,81.846000,120.308200
427041.998373,4519222.116831,-92.000000,3.400000,2.605543,2024-12-06 04:34:00.210000+00:00,123.364500,32.817800,-113.125700
424498.550075,4518153.342664,-3333.000000,4.000000,3.642073,2024-07-26 11:46:21.460000+00:00,321.709100,45.616200,114.425200
427892.041301,4520008.222871,-1892.000000,3.600000,3.030715,2024-07-18 06:08:38.079999+00:00,246.195300,37.773600,-102.038200
427730.311071,4520509.608933,-2191.000000,2.600000,2.467498,2024-07-11 09:59:20.539999+00:00,186.483400,36.743000,37.023600
428579.581557,4518559.974021,-2582.000000,3.200000,3.327496,2024-07-03 00:18:44.710000+00:00,112.455000,15.112500,170.031800
428501.250797,4518039.390475,-2727.000000,2.800000,2.861540,2024-07-02 13:13:46.100000+00:00,121.897500,17.871700,-156.770600
428501.621996,4517807.359309,-2594.000000,2.700000,2.686833,2024-07-02 13:11:34.520000+00:00,178.475500,20.940600,-123.556600
428518.922466,4518209.521230,-2677.000000,2.900000,3.125759,2024-07-02 13:10:15.150000+00:00,168.670500,11.899400,-120.147100
423394.572767,4520165.279251,-2696.000000,3.400000,2.876670,2024-06-18 01:58:24.800000+00:00,195.390600,47.057500,-168.460100
428012.454236,4520015.930242,-1678.000000,3.700000,3.333915,2024-06-08 02:09:04.009999+00:00,224.914500,25.436100,-92.391300
427942.856701,4520160.266637,-1934.000000,3.500000,2.676332,2024-06-08 01:52:05.200000+00:00,10.470400,30.387800,-144.959400
424597.098298,4518213.730660,-3297.000000,3.600000,3.422900,2024-05-22 06:28:00.530000+00:00,104.499800,48.254700,98.088000
425915.593945,4519375.981457,-1683.000000,3.600000,2.972561,2024-05-20 21:00:55.579999+00:00,87.837900,31.370200,-103.358700
426168.720963,4519404.422683,-1526.000000,3.100000,2.871741,2024-05-20 19:55:38.140000+00:00,60.156100,44.177200,-121.590000
426963.049460,4519827.171866,-1879.000000,3.900000,3.596875,2024-05-20 19:46:14.619999+00:00,243.362700,31.597000,-73.886000
427385.276137,4519610.409872,-1772.000000,4.400000,3.493509,2024-05-20 18:10:03.960000+00:00,252.973300,30.150900,-82.195100
426527.131410,4521005.076247,-2280.000000,3.500000,3.230628,2024-05-20 17:51:15.279999+00:00,268.463800,86.303800,-106.453500
427346.807280,4520603.961809,-2272.000000,2.800000,2.700562,2024-05-18 04:30:55.560000+00:00,64.379800,31.572200,-119.483000
423432.935328,4520156.444076,-2824.000000,2.900000,2.560862,2024-05-13 01:30:20.989999+00:00,215.575100,68.349900,-107.301100
